date,period,x,tfp_util_adjusted,capital_deepening,labor_composition,utilization,total_lp
1985:Q1,1985Q1,1985.0,2.8293997809230884,0.6583607209817847,0.12257122461063474,-1.4502175696417918,2.160114156873716
1985:Q2,1985Q2,1985.25,1.5896016246406415,0.5808203964931788,0.8127397385717217,-1.348057614221608,1.6351041454839343
1985:Q3,1985Q3,1985.5,1.9147642673668177,0.6972473714822485,0.5708413412914837,-0.7462832361834101,2.43656974395714
1985:Q4,1985Q4,1985.75,1.174426407803382,0.7601218436640319,0.2769130743411452,0.03265706482465025,2.2441183906332096
1986:Q1,1986Q1,1986.0,0.9550369508599541,0.8449838005299208,0.629754024044793,0.44882702377870787,2.878601799213376
1986:Q2,1986Q2,1986.25,2.18040686969614,1.2323620918494351,0.17212852373225118,-0.4649241774612116,3.1199733078166147
1986:Q3,1986Q3,1986.5,1.53867212477449,1.0247300582275212,0.19385105206266573,-0.7211030837407094,2.0361501513239677
1986:Q4,1986Q4,1986.75,1.6336857920822256,0.7677091365469536,0.3984761636624867,-1.0534601034626716,1.7464109888289947
1987:Q1,1987Q1,1987.0,-0.3890326790821559,0.16610409879240545,0.7212275721789396,0.03291694392201283,0.5312159358112023
1987:Q2,1987Q2,1987.25,-0.16019641872821566,-0.029750101750918995,0.20129253567420236,0.8903806384980122,0.9017266536930802
1987:Q3,1987Q3,1987.5,0.07269307723619461,-0.07920965464321825,0.25709933923110384,0.8447760028779341,1.0953587647020147
1987:Q4,1987Q4,1987.75,0.4653846644026585,-0.09533071004458989,0.30144536546732326,1.1471466384316336,1.8186459582570258
1988:Q1,1988Q1,1988.0,2.9757407867252814,0.48021891521094817,0.038662935667055365,-0.7056088462837574,2.789013791319528
1988:Q2,1988Q2,1988.25,2.1829114426380487,0.14311858845806613,0.6079209089997484,-1.0109150361053856,1.9230359039904776
1988:Q3,1988Q3,1988.5,2.2696035700114328,0.3589595969696252,0.4523808542557184,-1.1259420135157026,1.955002007721074
1988:Q4,1988Q4,1988.75,2.1622156182323535,0.3203362470268365,0.3064107770140545,-1.2419385212931775,1.5470241209800673
1989:Q1,1989Q1,1989.0,0.4370080574643618,-0.10321041058960333,0.5035935808978209,-0.0949869009961885,0.7424043267763913
1989:Q2,1989Q2,1989.25,-0.34319374443375805,0.07212772252564964,0.9440094522266129,-0.09886282174030697,0.574080608578198
1989:Q3,1989Q3,1989.5,-0.20495790865560326,-0.008909704624573522,0.967496419988656,-0.5318420257964319,0.22178678091204768
1989:Q4,1989Q4,1989.75,-0.4874861842954602,0.38968501982886095,0.8933764789424536,-0.7826939232169983,0.012881391258856567
1990:Q1,1990Q1,1990.0,0.04659098262190381,0.6619253587403243,0.7728112463147419,-0.5040269330816558,0.9773006545953145
1990:Q2,1990Q2,1990.25,0.6498287742775526,1.0440182806883698,0.23030993702013447,0.0846470015485451,2.0088039935346025
1990:Q3,1990Q3,1990.5,0.19613959658843144,1.1509518550632665,0.7007987279395778,0.19397223239746159,2.2418624119887376
1990:Q4,1990Q4,1990.75,0.3408695575914001,1.1823319963921504,0.6407650968518475,-0.7182707850833481,1.4456958657520502
1991:Q1,1991Q1,1991.0,0.5628822775504483,1.3693549873797868,1.0429826282885912,-2.0295059675806906,0.9457139256381364
1991:Q2,1991Q2,1991.25,1.0538030196594252,1.3443368108080547,0.9907785580280937,-2.0696451101543474,1.3192732783412264
1991:Q3,1991Q3,1991.5,0.7790727072118865,1.2574843191696639,0.5134298116749036,-1.106583323883496,1.4434035141729584
1991:Q4,1991Q4,1991.75,0.6801502121704122,1.0346868484883511,1.003209126798854,0.09659074988476749,2.814636937342385
1992:Q1,1992Q1,1992.0,2.8184608860633507,1.1513810376913707,0.14763652306335473,0.8145600511586664,4.932038497976743
1992:Q2,1992Q2,1992.25,1.8049497443944824,0.739222371830644,0.25998500859731877,1.3965039396300918,4.200661064452538
1992:Q3,1992Q3,1992.5,2.098770770652723,0.6157263629622269,0.5482247322746936,0.930133004772677,4.192854870662321
1992:Q4,1992Q4,1992.75,2.1374598471573787,0.41910464527063834,0.4613017354512472,1.0636728954699886,4.081539123349254
1993:Q1,1993Q1,1993.0,-2.1723834711260563,-0.09660499212308249,0.9239528769739103,1.7749361945253948,0.4299006082501666
1993:Q2,1993Q2,1993.25,-2.2515240766476827,-0.14987219286883702,0.7968408155507589,1.4577946898967062,-0.1467607640690538
1993:Q3,1993Q3,1993.5,-3.286425727835074,-0.2612110223729215,0.801620852302598,1.788407931610748,-0.9576079662946492
1993:Q4,1993Q4,1993.75,-2.2548606831051967,-0.22698044211569413,0.4341917650234173,1.7598702852612946,-0.2877790749361786
1994:Q1,1994Q1,1994.0,-1.4029824551046894,-0.48405053082414295,1.0910736401450016,1.5930043538600993,0.7970450080762692
1994:Q2,1994Q2,1994.25,-1.0667608241898536,-0.6827583464358017,1.1395719991089237,1.4858435062051616,0.8758963346884308
1994:Q3,1994Q3,1994.5,-0.34233328025259757,-0.8360457753853068,1.1908327477827996,0.8666147963765214,0.8790684885214173
1994:Q4,1994Q4,1994.75,-0.4188699372163638,-0.5191750912597217,0.8041026469370216,0.8681472729972755,0.7342048914582122
1995:Q1,1995Q1,1995.0,0.6844181448183038,-0.15705604781022925,0.24266402984167712,-0.15313121238171645,0.6168949144680358
1995:Q2,1995Q2,1995.25,1.842617199840225,0.37464088493398423,0.5261095916277547,-1.6725489689720763,1.070818707429888
1995:Q3,1995Q3,1995.5,2.2046270494913562,0.5828925540033424,0.15115326953933916,-1.2593802763217266,1.6792925967123118
1995:Q4,1995Q4,1995.75,1.633372023370458,0.46582984778145087,0.9046261475417872,-1.6749718376080271,1.3288561810856692
1996:Q1,1996Q1,1996.0,3.0583283358876057,0.6126618297846379,0.8584262529744535,-2.0621756048113835,2.467240813835314
1996:Q2,1996Q2,1996.25,1.35096283029529,0.4083231034029214,0.6192920641754363,0.5562925409863198,2.9348705388599683
