date,period,x,tfp,capital_deepening,labor_composition,total_lp
1985:Q1,1985Q1,1985.0,1.3791822112812955,0.6583607209817847,0.12257122461063474,2.160114156873716
1985:Q2,1985Q2,1985.25,0.24154401041903278,0.5808203964931788,0.8127397385717217,1.6351041454839343
1985:Q3,1985Q3,1985.5,1.1684810311834068,0.6972473714822485,0.5708413412914837,2.43656974395714
1985:Q4,1985Q4,1985.75,1.2070834726280315,0.7601218436640319,0.2769130743411452,2.2441183906332096
1986:Q1,1986Q1,1986.0,1.4038639746386614,0.8449838005299208,0.629754024044793,2.878601799213376
1986:Q2,1986Q2,1986.25,1.7154826922349276,1.2323620918494351,0.17212852373225118,3.1199733078166147
1986:Q3,1986Q3,1986.5,0.8175690410337799,1.0247300582275212,0.19385105206266573,2.0361501513239677
1986:Q4,1986Q4,1986.75,0.5802256886195535,0.7677091365469536,0.3984761636624867,1.7464109888289947
1987:Q1,1987Q1,1987.0,-0.3561157351601437,0.16610409879240545,0.7212275721789396,0.5312159358112023
1987:Q2,1987Q2,1987.25,0.7301842197697959,-0.029750101750918995,0.20129253567420236,0.9017266536930802
1987:Q3,1987Q3,1987.5,0.9174690801141281,-0.07920965464321825,0.25709933923110384,1.0953587647020147
1987:Q4,1987Q4,1987.75,1.6125313028342914,-0.09533071004458989,0.30144536546732326,1.8186459582570258
1988:Q1,1988Q1,1988.0,2.2701319404415234,0.48021891521094817,0.038662935667055365,2.789013791319528
1988:Q2,1988Q2,1988.25,1.1719964065326622,0.14311858845806613,0.6079209089997484,1.9230359039904776
1988:Q3,1988Q3,1988.5,1.1436615564957293,0.3589595969696252,0.4523808542557184,1.955002007721074
1988:Q4,1988Q4,1988.75,0.9202770969391751,0.3203362470268365,0.3064107770140545,1.5470241209800673
1989:Q1,1989Q1,1989.0,0.3420211564681727,-0.10321041058960333,0.5035935808978209,0.7424043267763913
1989:Q2,1989Q2,1989.25,-0.4420565661740656,0.07212772252564964,0.9440094522266129,0.574080608578198
1989:Q3,1989Q3,1989.5,-0.7367999344520356,-0.008909704624573522,0.967496419988656,0.22178678091204768
1989:Q4,1989Q4,1989.75,-1.270180107512459,0.38968501982886095,0.8933764789424536,0.012881391258856567
1990:Q1,1990Q1,1990.0,-0.4574359504597527,0.6619253587403243,0.7728112463147419,0.9773006545953145
1990:Q2,1990Q2,1990.25,0.7344757758260971,1.0440182806883698,0.23030993702013447,2.0088039935346025
1990:Q3,1990Q3,1990.5,0.3901118289858923,1.1509518550632665,0.7007987279395778,2.2418624119887376
1990:Q4,1990Q4,1990.75,-0.3774012274919487,1.1823319963921504,0.6407650968518475,1.4456958657520502
1991:Q1,1991Q1,1991.0,-1.4666236900302427,1.3693549873797868,1.0429826282885912,0.9457139256381364
1991:Q2,1991Q2,1991.25,-1.015842090494923,1.3443368108080547,0.9907785580280937,1.3192732783412264
1991:Q3,1991Q3,1991.5,-0.3275106166716103,1.2574843191696639,0.5134298116749036,1.4434035141729584
1991:Q4,1991Q4,1991.75,0.7767409620551788,1.0346868484883511,1.003209126798854,2.814636937342385
1992:Q1,1992Q1,1992.0,3.633020937222016,1.1513810376913707,0.14763652306335473,4.932038497976743
1992:Q2,1992Q2,1992.25,3.2014536840245733,0.739222371830644,0.25998500859731877,4.200661064452538
1992:Q3,1992Q3,1992.5,3.0289037754253996,0.6157263629622269,0.5482247322746936,4.192854870662321
1992:Q4,1992Q4,1992.75,3.201132742627367,0.41910464527063834,0.4613017354512472,4.081539123349254
1993:Q1,1993Q1,1993.0,-0.39744727660066204,-0.09660499212308249,0.9239528769739103,0.4299006082501666
1993:Q2,1993Q2,1993.25,-0.7937293867509766,-0.14987219286883702,0.7968408155507589,-0.1467607640690538
1993:Q3,1993Q3,1993.5,-1.4980177962243266,-0.2612110223729215,0.801620852302598,-0.9576079662946492
1993:Q4,1993Q4,1993.75,-0.49499039784390275,-0.22698044211569413,0.4341917650234173,-0.2877790749361786
1994:Q1,1994Q1,1994.0,0.19002189875540942,-0.48405053082414295,1.0910736401450016,0.7970450080762692
1994:Q2,1994Q2,1994.25,0.4190826820153075,-0.6827583464358017,1.1395719991089237,0.8758963346884308
1994:Q3,1994Q3,1994.5,0.5242815161239235,-0.8360457753853068,1.1908327477827996,0.8790684885214173
1994:Q4,1994Q4,1994.75,0.44927733578091134,-0.5191750912597217,0.8041026469370216,0.7342048914582122
1995:Q1,1995Q1,1995.0,0.531286932436587,-0.15705604781022925,0.24266402984167712,0.6168949144680358
